msoa11_cd,msoa11_hclnm,subgroup_code,subgroup_name,all_ages,wk_05,wk_06,wk_07,wk_08,wk_09,wk_10,wk_11,wk_12,wk_13,wk_14,wk_15,wk_16,wk_17,wk_18,wk_19,wk_20,wk_21,wk_22,wk_23,wk_24,wk_25,wk_26,wk_27,wk_28,wk_29,wk_30,wk_31,wk_32,wk_33,wk_34,wk_35,wk_36,wk_37,wk_38,wk_39,wk_40,wk_41,wk_42
E02002503,Newport & Maze Park,8b1,Deprived Blue-Collar Terraces,6733,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,6,7,5,13,26,25
E02002504,Linthorpe West,5a2,Multi-Ethnic Professionals with Families,9788,NA,NA,NA,NA,NA,NA,NA,NA,3,7,4,NA,10,10,10,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,3,NA,NA,4,3,10,24,35,41
E02002505,Park End,8d1,Young Hard-Pressed Families,6104,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,5,4,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,8,15,20,14
E02002506,Beechwood & James Cook,8d1,Young Hard-Pressed Families,5686,NA,NA,NA,NA,NA,NA,NA,NA,5,6,14,8,9,23,7,NA,NA,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,10,7,14,21
E02002507,Acklam,6b1,Multi-Ethnic Suburbia,5992,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,NA,4,3,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,7,5,6,11,11,15,15
E02002508,Kader,6b1,Multi-Ethnic Suburbia,5067,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,4,9,7,16,17,14
E02002509,Easterside,8d2,Hard-Pressed Ethnic Mix,5395,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,5,4,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,11,3,6,11,25,7,10
E02002510,Trimdon,6b3,Semi-Detached Ageing,5928,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,16,16,16,10
E02002512,Marton West,6a2,Comfortable Suburbia,5298,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,6,5,20,17,17
E02002513,Stainton & Hemlington,8d1,Young Hard-Pressed Families,9261,NA,NA,NA,NA,NA,NA,NA,NA,4,7,8,21,10,8,6,8,15,NA,4,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,4,5,6,9,17,31,31,41
E02002514,Coulby Newham,8c1,Ageing Industrious Workers,8528,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,11,9,12,9,3,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,9,8,21,24,27
E02006811,Nunthorpe & Marton East,6b3,Semi-Detached Ageing,10232,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,11,5,4,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,NA,5,13,24,30,44
E02002515,Redcar Town & Coatham,8b1,Deprived Blue-Collar Terraces,6903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,13,12,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,10,12,18
E02002516,Redcar Lakes North,8a2,Industrious Hardship,5853,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,4,3,8,13
E02002517,Dormanstown,6b3,Semi-Detached Ageing,5344,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,3,7,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,3,4,11,14
E02002518,Redcar East,6b3,Semi-Detached Ageing,10837,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,7,8,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,NA,NA,7,16,24,25
E02002519,Redcar Lakes South,6b3,Semi-Detached Ageing,7455,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,5,5,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,4,4,7,14,23
E02002520,Marske,6b3,Semi-Detached Ageing,12946,NA,NA,NA,NA,NA,NA,NA,NA,4,10,4,8,10,13,4,5,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,NA,10,8,25,30
E02002521,Saltburn,6b4,Older Workers and Retirement,6112,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,3,10,13,NA,13,8,11,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,14,11,31
E02002523,Grangetown,8d1,Young Hard-Pressed Families,6623,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,3,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,14,10,9
E02002524,Brotton,6b3,Semi-Detached Ageing,5506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,7,9,7
E02002525,Eston,6b3,Semi-Detached Ageing,8212,NA,NA,NA,NA,NA,NA,NA,NA,3,9,5,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,15,23,32
E02002526,Skelton,6b3,Semi-Detached Ageing,7735,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,3,3,8,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,11,12,5
E02002527,Loftus & Skinningrove,8b1,Deprived Blue-Collar Terraces,5078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,3,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,28
E02002529,Bankfields,6b3,Semi-Detached Ageing,5879,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5,3,3,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,6,10,17,12,22
E02002530,"Boosbeck, Lingdale & Easington",1b1,Rural Life,6332,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,12,8,11
E02002532,Guisborough North,5b3,Self-Sufficient Retirement,6655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,9,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,24,19,12
E02002533,Guisborough West,6b4,Older Workers and Retirement,6239,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,4,6,NA,21,5,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,14,7,4
E02002534,Guisborough Outer & Upleatham,6a3,Detached Retirement Living,5693,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,30,19
E02006812,Ormesby,6b3,Semi-Detached Ageing,7548,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,4,6,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,8,26,15,20
E02006910,South Bank & Teesville,6b3,Semi-Detached Ageing,10200,NA,NA,NA,NA,NA,NA,NA,NA,4,5,9,4,8,8,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,11,27,35,59
E02002535,Billingham North & Wolviston,6b3,Semi-Detached Ageing,9336,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,7,5,NA,NA,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,7,11,13,35,32
E02002536,Billingham Central,8b1,Deprived Blue-Collar Terraces,9771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,4,NA,4,4,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,32,36,54
E02002537,Billingham East & Haverton Hill,8a2,Industrious Hardship,8641,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,5,4,6,NA,3,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,NA,8,13,32,28
E02002538,Billingham South,8b1,Deprived Blue-Collar Terraces,5780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,6,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,29,21,16
E02002539,"Billingham West, Stillington & Longnewton",6a3,Detached Retirement Living,9414,NA,NA,NA,NA,NA,NA,NA,NA,7,9,5,5,NA,NA,NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,7,9,27,41,44
E02002540,Norton North,6b3,Semi-Detached Ageing,6035,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,5,3,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,22,30,25
E02002541,Norton High Street,6b3,Semi-Detached Ageing,6146,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,10,12,21,28
E02002542,Roseworth,8d1,Young Hard-Pressed Families,8242,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,6,8,12,7,11,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,14,22,29
E02002543,Hardwick & Salters Lane,8d1,Young Hard-Pressed Families,9065,NA,NA,NA,NA,NA,NA,NA,NA,5,5,9,6,15,43,11,5,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,13,22,22,24
E02002544,Norton South,8a1,Industrious Transitions,8694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,7,9,7,7,6,7,4,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3,5,5,19,39,46
E02002545,Rimswell & Bishopsgarth,6b3,Semi-Detached Ageing,5191,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,11,22,8
E02002546,Eastbourne & Newham Grange,8d1,Young Hard-Pressed Families,7503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,13,8,3,5,3,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,24,26,32
E02002547,Elm Tree & Grangefield,6b3,Semi-Detached Ageing,6193,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,12,16,30,17
E02002548,"Central Stockton, Portrack & Low Hartburn",7a3,Multi-Ethnic Hardship,13843,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,8,7,11,4,5,7,NA,5,19,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,5,3,7,7,17,40,47,56
E02002549,Fairfield,6b3,Semi-Detached Ageing,7396,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,20,26,18
E02002550,Hartburn,6b3,Semi-Detached Ageing,6184,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,14,13,22
E02002551,Thornaby North,4a1,Private Renting Young Families,7153,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,5,6,31,20
E02002552,Thornaby Mandale,8d2,Hard-Pressed Ethnic Mix,7246,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,13,17,20,35
E02002553,Thornaby Village,6b3,Semi-Detached Ageing,5949,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,6,22,12
E02002554,Thornaby South,8d1,Young Hard-Pressed Families,5280,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,9,15,22
E02002555,Eaglescliffe,6b3,Semi-Detached Ageing,10131,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,3,3,9,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,4,8,18,18,32
E02002556,Ingleby Barwick East & Hilton,6a2,Comfortable Suburbia,6979,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,6,3,17,19,25
E02002557,Ingleby Barwick West,6a2,Comfortable Suburbia,16385,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,12,9,6,NA,8,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12,7,18,49,61,46
E02002558,Yarm,6a3,Detached Retirement Living,10791,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,11,27,19
E02002559,"Faverdale, Heighington & Sadberge",6b2,White Suburban Communities,9157,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,14,4,6,7,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,8,12,14,31,29
E02002560,Harrowgate Hill,6b3,Semi-Detached Ageing,6087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,8,25
E02002561,Whinfield,6b4,Older Workers and Retirement,5305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,7,4,5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,10,9
E02002562,Rise Carr,7a2,Hampered Aspiration,5840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,10,30,NA,12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,7,10
E02002563,Haughton Le Skerne,8c3,Renting Hard-Pressed Workers,5446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,7,8,3,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5,13,12,17
E02002564,Cockerton & Hopetown,8c3,Renting Hard-Pressed Workers,9729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,NA,7,5,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,6,16,17,25
E02002565,Pierremont,5a3,Families in Terraces and Flats,5074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,12,5,13
E02002566,Central Darlington,7a2,Hampered Aspiration,6942,NA,NA,NA,NA,NA,NA,NA,NA,3,5,9,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,18,17,12
E02002567,Albert Hill & Red Hall,8a1,Industrious Transitions,8725,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9,5,NA,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,17,12,32
E02002568,College & Park West,5b1,Delayed Retirement,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,7,7,5,9,3,5,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,15,10,17
E02002569,Hummersknott,6a3,Detached Retirement Living,9014,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,8,3,6,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5,NA,9,13,19,17
E02002570,Bank Top,5a3,Families in Terraces and Flats,7771,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,6,13,7,5,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,24,18,33,41
E02002571,Firthmoor,8d3,Hard-Pressed European Settlers,6507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,6,11,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,11,17
E02002572,Park East,5a3,Families in Terraces and Flats,6413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,6,NA,NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,9,16
E02002573,Middleton & Hurworth,1b2,Rural White-Collar Workers,8793,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,4,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,18,19,23
E02002574,Farnworth,6b3,Semi-Detached Ageing,8641,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,3,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,19,17,30,30,27
E02002575,Upton Rocks,6a2,Comfortable Suburbia,9752,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,6,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,16,21,32,37,43,48
E02002576,Halton View,8b1,Deprived Blue-Collar Terraces,7341,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,NA,4,5,NA,5,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,32,26,38,29,24
E02002577,Hough Green,8c3,Renting Hard-Pressed Workers,7631,NA,NA,NA,NA,NA,NA,NA,NA,3,3,7,3,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,23,32,35,16
E02002578,Victoria Park,8c3,Renting Hard-Pressed Workers,8401,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,11,5,4,5,7,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,21,27,35,32,27
E02002579,Ditton,8b2,Hard-Pressed Rented Terraces,7938,NA,NA,NA,NA,NA,NA,NA,NA,4,12,6,5,6,15,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,15,20,32,33,31
E02002580,Widnes Riverside,8b1,Deprived Blue-Collar Terraces,8046,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,9,5,9,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,8,23,27,21,19
E02002581,Hale Bank,6b3,Semi-Detached Ageing,7322,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,11,5,5,9,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,15,15,18,26,38,39
E02002582,"Sandymoor, Daresbury & Preston Brook",6a2,Comfortable Suburbia,8786,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,3,NA,6,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5,11,23,39,23
E02002583,Halton Castlefield,8d1,Young Hard-Pressed Families,7599,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,18,13,12,17,29
E02002584,Runcorn Halton Road,8a2,Industrious Hardship,7403,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,7,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,7,22,24,44,35
